gloss,freq
chucked,1
chuckle,7
chuckled,7
chuckles,3
chuckling,2
chuffed,1
chugged,3
chugs,1
chump,4
chumps,1
chums,4
chunk,1
chunks,2
chunky,1
chuntering,1
church,10
churn,9
churned,4
churning,2
churns,1
chutney,1
cigarette,1
Cin,3
Cincinnati,1
Cincinnati_Felt,1
Cinderella,35
Cinderella's,3
Cinders,1
Cindy,1
cinema,4
cinnamon,2
circle,17
circled,8
circles,11
circling,1
circumference,2
circumstances,1
circus,5
circuses,1
cities,2
citizens,1
city,22
civil,1
clack_clack,2
claim,2
claimed,2
claiming,1
clamber,4
clambered,12
clambering,1
clamor,1
clamped,2
clamping,1
clan,1
clang,2
clanged,1
clanging,1
clanking,1
clap,19
clapped,13
clapping,8
Clara,30
Clara's,11
Clare,16
Clare's,1
clasp,1
clasped,4
class,43
classes,3
classic,2
classmates,1
classroom,9
classrooms,2
clatter,2
clattered,1
clattering,3
claw,3
clawed,1
clawing,1
claws,19
clay,1
clean,47
cleaned,12
cleaner,5
cleaners,2
cleaning,14
clear,40
cleared,7
clearest,1
clearing,18
clearly,17
clears,1
clematis,1
clenched,1
clever,48
cleverer,1
cleverest,3
cleverly,2
click,10
click_scuff,1
clicked,1
clicker,2
clickety_click,2
clicking,2
client,1
cliff,15
cliffs,3
climb,35
climbed,51
climber,1
climbing,19
climbs,2
cling,2
clinging,2
clink,1
clinophobia,1
clip,1
clipped,1
cloak,15
cloaked,1
clobber,1
clock,22
clockcoaches,1
clocking,1
clocks,5
clockwork,1
clog,4
clogs,6
clonkers,2
clop,3
close,64
closed,54
closely,11
closer,32
closes,1
closest,2
closing,4
cloth,7
clothes,58
clothing,2
cloths,2
cloud,28
clouds,18
cloudy,1
clover,4
cloves,1
club,41
clubs,4
cluck_cluck_cluck,1
cluck_cluck_cluck_cluck_cluck,1
clue,14
clues,3
clump,8
clumpa,4
clumpety_clumpety_clump,1
clumping,2
clumps,1
clumsy,2
clung,3
clunk,3
clustering,1
clusters,1
clutched,8
clutching,15
coach,22
coal,3
coalman,1
coals,2
coarse,2
coast,3
coastlines,1
coat,32
coats,7
coax,3
coaxed,2
cob,4
cobblestones,1
cobra,1
cock,1
cock_a_doodle_do,1
cockatootloo,1
cockerel,7
cockerel's,1
cockerelitis,1
cockles,2
cocoa,17
coconut,3
cocoon,2
code,3
cods,1
coffee,17
coffin,19
cog,5
cogs,1
coil,1
coiling,2
coils,2
coin,8
coincidence,1
coins,16
coke,1
Coke,1
cokey,1
cola,3
cold,85
colder,8
coldest,2
colds,1
Cole's,1
Colin,12
collapse,1
collapsed,1
collar,6
collarless,1
collars,1
collect,15
collected,4
collecting,5
collection,11
collector's,1
collided,1
